Date;Open;High;Low;Close;Volume
2010.01.01 00:00;2039.75;2039.75;2043.0;2043.0;1
2010.01.04 00:00;2045.0;2054.0;2005.0;2022.5;1
2010.01.05 00:00;2010.35;2027.65;1984.2;1988.4;1
2010.01.06 00:00;1985.15;1987.5;1964.9;1972.5;1
2010.01.07 00:00;1971.75;1977.5;1963.5;1970.45;1
2010.01.08 00:00;1968.5;1973.9;1962.13;1964.3;1
2010.01.11 00:00;1962.4;1963.0;1960.25;1963.5;1
2010.01.12 00:00;1962.0;1963.0;1953.35;1960.65;1
2010.01.13 00:00;1959.9;1975.0;1952.98;1974.2;1
2010.01.14 00:00;1971.0;1983.5;1963.83;1976.4;1
2010.01.15 00:00;1973.9;1977.0;1962.57;1967.5;1
2010.01.18 00:00;1965.0;1969.65;1961.83;1969.9;1
2010.01.19 00:00;1968.0;1972.5;1950.3;1958.03;1
2010.01.20 00:00;1950.5;1968.0;1953.0;1967.15;1
2010.01.21 00:00;1965.0;1975.4;1956.7;1976.93;1
2010.01.22 00:00;1974.5;1989.3;1965.68;1969.2;1
2010.01.25 00:00;1980.0;1980.0;1955.68;1958.4;1
2010.01.26 00:00;1958.1;1978.0;1955.8;1969.8;1
2010.01.27 00:00;1968.3;1995.15;1966.1;1987.5;1
2010.01.28 00:00;1985.0;1996.25;1979.4;1992.5;1
2010.01.29 00:00;1990.0;1994.0;1974.85;1984.7;1
2010.02.01 00:00;1982.2;1982.2;1965.1;1966.85;1
2010.02.02 00:00;1967.0;1967.5;1955.2;1958.0;1
2010.02.03 00:00;1962.15;1972.2;1957.5;1968.15;1
2010.02.04 00:00;1962.5;1990.75;1964.8;1990.9;1
2010.02.05 00:00;1988.4;2008.5;1982.4;2008.5;1
2010.02.08 00:00;2003.5;2008.0;1998.45;2002.0;1
2010.02.09 00:00;2001.25;2003.35;1961.9;1968.4;1
2010.02.10 00:00;1968.4;1971.0;1955.73;1960.0;1
2010.02.11 00:00;1957.75;1958.96;1933.15;1935.55;1
2010.02.12 00:00;1935.0;1945.0;1930.3;1938.0;1
2010.02.15 00:00;1935.5;1935.5;1927.5;1937.4;1
2010.02.16 00:00;1935.0;1935.0;1918.55;1930.65;1
2010.02.17 00:00;1928.2;1936.0;1916.53;1931.9;1
2010.02.18 00:00;1931.9;1938.0;1924.32;1931.95;1
2010.02.19 00:00;1925.9;1941.0;1918.0;1923.3;1
2010.02.22 00:00;1928.5;1928.5;1907.18;1920.2;1
2010.02.23 00:00;1912.9;1930.0;1915.4;1930.45;1
2010.02.24 00:00;1928.2;1935.9;1923.4;1933.4;1
2010.02.25 00:00;1930.9;1944.9;1932.28;1941.95;1
2010.02.26 00:00;1940.9;1941.5;1920.78;1924.8;1
2010.03.01 00:00;1938.2;1938.2;1907.73;1912.2;1
2010.03.02 00:00;1912.9;1926.3;1892.05;1895.0;1
2010.03.03 00:00;1892.5;1931.5;1891.45;1927.03;1
2010.03.04 00:00;1925.0;1940.0;1914.45;1918.85;1
2010.03.05 00:00;1913.25;1916.9;1893.5;1897.25;1
